location,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel
lat,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319
lon,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500
asl,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Diffuse Shortwave Radiation,FAO Reference Evapotranspiration,CAPE,Wind Speed,Wind Direction,Temperature
unit,°C,%,hPa,mm,%,%,%,%,min,W/m²,W/m²,mm,J/kg,km/h,°,°C
level,2 m elevation corrected,2 m,MSL,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,2 m,180-0 mb above gnd,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Excel Temperature [2 m elevation corrected],Excel Relative Humidity [2 m],Excel Mean Sea Level Pressure [MSL],Excel Precipitation Total,Excel Cloud Cover Total,Excel Cloud Cover High [high cld lay],Excel Cloud Cover Medium [mid cld lay],Excel Cloud Cover Low [low cld lay],Excel Sunshine Duration,Excel Shortwave Radiation,Excel Diffuse Shortwave Radiation,Excel FAO Reference Evapotranspiration [2 m],Excel CAPE [180-0 mb above gnd],Excel Wind Speed [10 m],Excel Wind Direction [10 m],Excel Temperature
20200525T0500,5.878188,80.0,1013.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046705795,0.0,7.53493,188.1301,3.36
20200525T0600,5.878188,81.0,1014.1,0.0,0.0,0.0,0.0,0.0,44.466667,17.8,8.518205,0.0025779058,0.0,7.2713056,188.42697,5.3
20200525T0700,9.668188,69.0,1012.9,0.0,0.0,0.0,0.0,0.0,60.0,136.17,62.299107,0.043270055,0.0,7.108438,192.99461,10.91
20200525T0800,13.7681875,58.0,1012.3,0.0,0.0,0.0,0.0,0.0,60.0,287.47,123.60592,0.14350766,0.0,8.855546,195.70863,16.1
20200525T0900,16.708187,51.0,1011.3,0.0,8.1,27.0,0.0,0.0,54.82979,435.21,175.29428,0.25000516,0.0,10.788378,200.22485,20.33
20200525T1000,18.498188,46.0,1011.3,0.0,49.0,100.0,49.0,0.0,28.723406,564.26,213.16,0.34488305,15.0,12.149709,195.25513,23.25
20200525T1100,19.828188,42.0,1010.2,0.0,100.0,100.0,100.0,0.0,0.0,641.69,223.8134,0.41321477,22.0,13.322664,191.53462,25.06
20200525T1200,20.678188,37.0,1009.5,0.0,100.0,100.0,100.0,0.0,0.0,689.75,209.1207,0.46323323,0.0,14.47658,192.75754,26.18
20200525T1300,21.278187,35.0,1008.6,0.0,100.0,100.0,100.0,0.0,0.0,710.22,194.82869,0.48949993,0.0,15.055725,193.29857,26.68
20200525T1400,21.748188,35.0,1008.1,0.0,100.0,100.0,100.0,0.0,0.0,682.63,169.34367,0.48572618,0.0,15.771689,195.67952,26.76
20200525T1500,22.038187,34.0,1007.0,0.0,100.0,100.0,100.0,0.0,0.0,616.77,140.32317,0.45786396,0.0,15.34057,200.32314,26.33
20200525T1600,21.278187,36.0,1006.6,0.0,100.0,100.0,100.0,10.0,0.0,468.13998,185.91643,0.37395045,38.0,15.370609,205.67682,22.47
20200525T1700,21.058187,36.0,1005.9,0.0,100.0,100.0,100.0,10.0,0.0,202.92,190.51823,0.2422638,48.0,13.845113,210.01837,21.96
20200525T1800,21.018188,36.0,1005.6,0.0,100.0,100.0,100.0,10.0,0.0,173.55,0.0,0.21438877,60.0,12.199259,211.6075,21.46
20200525T1900,20.548187,40.0,1005.3,0.0,100.0,100.0,100.0,15.0,0.0,159.31,0.0,0.18890825,97.0,11.91377,190.30484,20.78
